wallet,first_buy_time,first_buy_time_utc,first_buy_mcap_usd,last_sell_time,last_sell_time_utc,n_buys,n_sells,sol_in,sol_out,tokens_bought,tokens_sold,tokens_still_held,realized_pnl_sol,realized_pnl_usd,hold_minutes,sold_out,n_trades_total
2PSYPF2UgeSaNGgrtrWBQbocLpv35ZL51HxYawvyiLEL,1785083418,2026-07-26T16:30:18Z,18871.71227110922,1785101935,2026-07-26T21:38:55Z,6,10,7.509323758999999,13.890136251000001,6124218.762190001,6124218.762189999,0,6.3808124920000004,475.24291440416005,308.62,True,16
69xWoewjXMGFcmHdLE75dc7oujePHrGpmLGFmiwneYTR,1785083466,2026-07-26T16:31:06Z,9204.087083497085,1785699520,2026-08-02T19:38:40Z,23,11,38.722592434000006,45.060458897000004,19766269.736629996,19768014.610023998,0,6.3378664629999975,472.04429416423983,10267.57,True,34
7vvD6TWN6FvsDLAii4CJKQugj2V4FT54YhV3J5ZDQ7ps,1785083532,2026-07-26T16:32:12Z,22675.597649501637,1785106660,2026-07-26T22:57:40Z,2,3,0.357349079,6.684593682,451314.540921,451314.540921,0,6.3272446030000005,471.2531780314401,385.47,True,5
gCmdrQdpXKgXhTK9H5ff36Eqc2w9JvyAaKRV1n7iKBu,1785083421,2026-07-26T16:30:21Z,17877.646422159163,1785786219,2026-08-03T19:43:39Z,37,6,3.448185160999997,9.70702428,117237.125246,117237.125246,0,6.258839119000001,466.1583375831201,11713.3,True,43
4wfMGwXy5kN9nb2RbYdUNk468xjYrAJFkL6ERuL7zXMv,1785083429,2026-07-26T16:30:29Z,18931.64253510315,1785144343,2026-07-27T09:25:43Z,7,9,6.351144080999999,12.044631353,159419.192823,159419.192823,0,5.693487272,424.05093201856,1015.23,True,16
3YkT717kqX5edfDHUBjH9roVthZHzSPYLChsNPjoXB9f,1785083525,2026-07-26T16:32:05Z,20716.5526195722,1785101238,2026-07-26T21:27:18Z,9,8,23.396285533,29.032337220000002,1242983.278889,1242983.278889,0,5.636051686999998,419.7731296477599,295.22,True,17
Bjo8rLDTMp8KA88RUoXz1VoihSKoW6nRHw3mH3zodtL6,1785083451,2026-07-26T16:30:51Z,19296.42530943701,1785105201,2026-07-26T22:33:21Z,3,17,0.355887979,5.900088515,1477742.060958,1477742.060958,0,5.544200536,412.93205592128004,362.5,True,20
GVyKLC54cRvdEy3vjBPL9GDypG2jd7mHepZB9MGxZzQj,1785083208,2026-07-26T16:26:48Z,15125.128465718082,1785788268,2026-08-03T20:17:48Z,20,20,25.122433136999998,30.603768022999997,526707.7888020001,526707.788802,0,5.481334885999999,408.24982230928,11751.0,True,40
3DtFSKgWaEiwNxSPC11fGxtRthqViCgEkiPhFNuNcuxm,1785083499,2026-07-26T16:31:39Z,15933.291732874695,1785282927,2026-07-28T23:55:27Z,4,64,7.210282960999999,12.628537271000003,4501428.040642,4501428.040642,0,5.418254310000004,403.55158100880027,3323.8,True,68
8hGRwXvWXz6ungB1WFgj47rLbTL3Gxmk9KHJ4Ten25LG,1785083200,2026-07-26T16:26:40Z,18395.793579243367,1785839395,2026-08-04T10:29:55Z,51,49,51.67104947200001,56.552730570000016,65832409.79325501,65832409.79325498,0,4.881681098000003,363.5876081790403,12603.25,True,100
2bhy5b5JFXkdaFxMfQmfYXPMMbbfN1JkkpxXYoS3tf5P,1785083401,2026-07-26T16:30:01Z,10321.32227194565,1785087135,2026-07-26T17:32:15Z,9,10,15.533343219999999,20.212141467000002,18901486.633634,18901486.633634,0,4.678798247000002,348.4768934365602,62.23,True,19
TuouBnypgwNHajm8uUYLSfaVp1UfCfhphJeZGjjate4,1785083193,2026-07-26T16:26:33Z,17354.4278011826,1785099060,2026-07-26T20:51:00Z,37,23,13.574985774000002,18.227262197,15905545.405435001,15905545.405435003,0,4.652276423,346.50154798504,264.45,True,60
6MaZ2ikXBYEJjeB4JjuWR2wX7yfJBCE3Znhww6TJH3sB,1785083097,2026-07-26T16:24:57Z,5220.510701289332,1785083190,2026-07-26T16:26:30Z,1,5,2.003368209,6.584877127,26898675.142685,26898675.142685,0,4.581508918,341.23078421264,1.55,True,6
HRxU14Hw4DZootnTn4JBn3U6YbQJmkDvScNeyapRLxHv,1785083436,2026-07-26T16:30:36Z,15069.035200119884,1785086508,2026-07-26T17:21:48Z,1,2,1.00507408,5.372855511,4659383.281551,4659383.281551,0,4.367781431,325.31236098088004,51.2,True,3
8SuAiRmz9gVXMMLXsrjTCfNry7qsAGHXXV4qVstpu9EY,1785083118,2026-07-26T16:25:18Z,5692.695849777848,1785084238,2026-07-26T16:43:58Z,12,13,8.089836459,12.432890351,42503493.23499999,42503493.235,0,4.3430538919999995,323.47065387616,18.67,True,25
64hP97Bwr5PubotcTeGgfhkFrGiLVVxT2kVo9M9b4AEz,1785083124,2026-07-26T16:25:24Z,6835.6285491856015,1785083538,2026-07-26T16:32:18Z,30,7,8.510699005,12.786005143,64996595.06004499,64996524.921666004,70.138379,4.2753061379999995,318.42480115824,6.9,False,37
BRGBSRgZS9a9L9Dov5hhDA65uvtT7bvbztLfuPtnxBZn,1785083542,2026-07-26T16:32:22Z,23578.350871186074,1785164384,2026-07-27T14:59:44Z,5,5,19.147911362000002,23.384491779,5630481.574768,5630481.574768,0,4.236580417000002,315.54050945816016,1347.37,True,10
7GZeuQXMP9dKhMmAGwX47J8TQL54yfuUNWj5V7faEY1n,1785083396,2026-07-26T16:29:56Z,6685.4081310901165,1787344842,2026-08-21T20:40:42Z,5,15,6.866663214999999,10.784171817,11957961.163444001,11957961.163444003,0,3.9175086019999994,291.77604067695995,37690.77,True,20
Ak7Z5nUXctypS8d4ArHebJNCNX43gbGHYzm9Cu4Djx9Z,1785083123,2026-07-26T16:25:23Z,6648.124250065618,1785784453,2026-08-03T19:14:13Z,11,12,11.12514816,14.944798067,18353474.551916998,18353474.551916998,0,3.819649907000001,284.4875250733601,11688.83,True,23
5gX8PCN9ZsS58TDKpGZM4Gv2vnDy9gqscxjBap84aKXd,1785083473,2026-07-26T16:31:13Z,9192.629703703218,1785083581,2026-07-26T16:33:01Z,1,3,2.3456990799999997,6.028560086,17841060.471083,17841060.471083,0,3.6828610059999995,274.29948772688,1.8,True,4
9kV5yvFCL6mTu7AVMNzVdQ36wwsvfUcTm5M11p1poLB5,1785083426,2026-07-26T16:30:26Z,18558.267824319122,1785733508,2026-08-03T05:05:08Z,5,13,1.5112222400000002,5.193185464000001,469912.192288,469912.192288,0,3.6819632240000004,274.2326209235201,10834.7,True,18
CzeRd3vZfXFBRvgsdYq8g35Ja1Pzxt6HJy6uAkWP4AFY,1785083178,2026-07-26T16:26:18Z,21289.661741155353,1785787641,2026-08-03T20:07:21Z,9,8,14.086892512999999,17.727593326999997,6626342.567223,6626342.567223,0,3.6407008140000023,271.1593966267202,11741.05,True,17
9KKUXi2XroSMT2jUfWMDzwPXiertNKMo95Rxm5LEkVsv,1785083401,2026-07-26T16:30:01Z,10646.449944214879,1785083736,2026-07-26T16:35:36Z,2,6,1.927208464,5.557519198,12606839.448439,12606839.448439,0,3.630310734,270.38554346832,5.58,True,8
Cc3CgkAqUmZ6P81PSDb69T9hJiH3ERZp2SwAobgqLZRa,1785083180,2026-07-26T16:26:20Z,21803.207434492517,1785116227,2026-07-27T01:37:07Z,23,14,13.842212726000001,17.418981132,6856037.471952997,6856037.471953001,0,3.5767684060000002,266.39771087888005,550.78,True,37
