wallet,first_buy_time_utc,first_buy_mcap_usd,n_buys,tokens_bought,eth_spent,usd_spent,tokens_held_at_window_close,current_onchain_balance,current_usd_value,status
0xbbd659051a6e501e3d109300b7aa7d80a845f5d4,2026-08-31T17:25:51Z,75760.27,1,115360.6457,0.00353155,8.74,115360.6457,321126.7486,34.36,still holds
0x26d5af689c20e0c3634aa344d7e96de39d1daad3,2026-08-31T19:13:20Z,85447.56,1,107160.9181,0.0037,9.16,107160.9181,472952.9403,50.61,still holds
0x8e4c993fbcf9a957b7aab25ae548ad083e939084,2026-08-31T19:30:31Z,85381.51,1,105633.9517,0.00364446,9.02,105633.9517,105633.9517,11.3,still holds
0x74005f26d544bbf9cbf55c9f4855a6bba8b7e15f,2026-08-31T19:13:27Z,85663.46,1,105093.4692,0.00363778,9.0,105093.4692,0.0,0.0,exited after window
0x4e2d76e9d84fd9693b20d405b90b82bca7fe8fe0,2026-08-31T17:27:26Z,80906.79,2,101832.3312,0.00266997,6.61,101832.3312,101832.3312,10.9,still holds
0x171cec8698de94841ee0cfcb3c443367f8230395,2026-08-31T20:42:54Z,78530.96,1,101056.6766,0.0032068,7.94,101056.6766,0.0,0.0,exited after window
0x41190dd9177b7904855a137b37256e73e1e62fff,2026-08-31T17:29:00Z,49239.26,1,100218.5299,0.001994,4.93,100218.5299,93026.5895,9.95,still holds
0xba5f1bf18c1803dd5e25c5bbdb516c0f32054b62,2026-08-31T17:53:54Z,74266.56,1,99319.5121,0.00298053,7.38,99319.5121,99319.5121,10.63,still holds
0x15dce43bc15adf64e4c2a0df0b5561728568ebde,2026-08-31T17:21:13Z,48191.37,1,95323.8466,0.00185625,4.59,95323.8466,95.3238,0.01,still holds
0x6a6e960942acbf5cc7526c1dc4547713ff034695,2026-08-31T17:23:39Z,73108.39,3,95209.8121,0.00265642,6.57,95209.8121,89582.9293,9.59,still holds
0xb4a4f054a5befcb931bd396b6013e2db856cd2d4,2026-08-31T18:02:52Z,66633.79,1,90379.3721,0.00243349,6.02,90379.3721,0.0,0.0,exited after window
0xed29022beeed0914c57e4065b93a53a5b3538c7d,2026-08-31T18:02:50Z,66567.82,1,85493.5878,0.00229966,5.69,85493.5878,85493.5878,9.15,still holds
0x95618a892f8191f4cf06984c3bff6817c5d3d216,2026-08-31T17:33:54Z,57817.44,1,79348.3106,0.0018538,4.59,79348.3106,79348.3106,8.49,still holds
0x77783eca7979a8dcf29153503bdc8da001fff7e4,2026-08-31T17:27:51Z,67791.51,1,78739.2718,0.00215691,5.34,78739.2718,78739.2718,8.43,still holds
0x1475ee5fcd2f6ba19bda6512ed81d8a55ec5914f,2026-08-31T18:29:56Z,54770.82,1,75408.7182,0.00166892,4.13,75408.7182,75408.7182,8.07,still holds
0x773c36c8c91318c98fc04bd7eab4dd6474ad0168,2026-08-31T17:28:24Z,56221.58,1,74293.3757,0.00168779,4.18,74293.3757,74293.3757,7.95,still holds
0x160a7164b45e63d23c18ef3df274b7951e6224db,2026-08-31T18:35:14Z,56493.65,1,73181.5752,0.00167058,4.13,73181.5752,73181.5752,7.83,still holds
0x67d5799f086f8636419927c8fe21e0d8524e1fb3,2026-08-31T21:19:42Z,123342.14,1,71844.3862,0.00358072,8.86,71844.3862,0.0,0.0,exited after window
0xf8426b7576a4e3724fbbb09cc44b80fbdfaecf2c,2026-08-31T17:22:14Z,68880.76,1,71137.9922,0.00198,4.9,71137.9922,71137.9922,7.61,still holds
0x92c444ce9ca152cf2b1b47557fef7b480ca782ef,2026-08-31T17:28:59Z,53117.24,1,65275.0919,0.00140103,3.47,65275.0919,65275.0919,6.98,still holds
