wallet,first_buy_time_utc,first_buy_mcap_usd,n_buys,tokens_bought,eth_in,usd_in,n_sells,tokens_sold,eth_out,usd_out,realized_pnl_eth,realized_pnl_usd,tokens_left_at_window_close,current_onchain_balance,current_usd_value,status
0xb911f665ebf1b0c235f7e392fb00699994765983,2026-08-31T17:22:30Z,66909.76,1,132950.2523,0.00359455,8.9,1,132950.2523,0.00364903,9.03,5.449e-05,0.13,0.0,0.0,0.0,sold out in window
0x25669e148e4a2810c8e56add8228c1e041ab7516,2026-08-31T18:03:47Z,67143.27,1,131888.6719,0.00357829,8.86,1,131888.6719,0.00268811,6.65,-0.00089018,-2.2,0,0.0,0.0,sold out in window
0xce64a060ce79cb7e1ca8f5499dab4e51c78c6119,2026-08-31T17:34:27Z,63984.66,2,129528.7198,0.0035739,8.84,1,55521.5662,0.00171159,4.24,0.00027609,0.68,74007.1536,74007.1536,7.92,still holds
0x6a594a691aa52b019812c9d875701895a6616596,2026-08-31T17:25:03Z,93425.73,1,126776.4355,0.00478598,11.84,1,126776.4355,0.00317496,7.86,-0.00161102,-3.99,0,0.0,0.0,sold out in window
0x733d9aeba7c0b2d95e7d794f7e778ee18f7f12b7,2026-08-31T17:25:25Z,72854.66,1,126234.0348,0.0037162,9.2,1,122091.6036,0.00302182,7.48,-0.00057243,-1.42,4142.4312,4142.4312,0.44,still holds
0x94a77ff7af3ad366fd52e6f33a984f19445fc25f,2026-08-31T17:23:39Z,73029.86,1,125200.6152,0.00369464,9.14,1,125200.6152,0.00454461,11.25,0.00084997,2.1,0,0.0,0.0,sold out in window
0x7fe1b28a51b04031a65e3b706486b84280d4b512,2026-08-31T17:23:58Z,71686.36,1,124653.475,0.00361083,8.94,3,124653.475,0.00473626,11.72,0.00112544,2.79,0.0,0.0,0.0,sold out in window
0x03bf7bc613bcd59f61180d6aebc4bab56b40f3f3,2026-08-31T17:21:25Z,59499.72,1,124279.6636,0.002988,7.39,2,124279.6636,0.00317464,7.86,0.00018664,0.46,0,169076.2338,18.09,still holds
0xbc4068ec63c114042a52dd3f9dda2146ece77c1d,2026-08-31T17:21:40Z,41040.95,2,123464.3885,0.00403647,9.99,2,123464.3885,0.00358212,8.86,-0.00045435,-1.12,0,0.0,0.0,sold out in window
0x9c078c454bdedea46dc790d0557f63bc4c958d89,2026-08-31T17:23:45Z,72848.66,1,122810.4169,0.00361512,8.95,1,122810.4169,0.00461346,11.42,0.00099835,2.47,0,0.0,0.0,sold out in window
0xf9da49b600228cab30639d5cb1d10220bfe3aaee,2026-08-31T17:25:44Z,79962.03,1,122559.1455,0.00396,9.8,1,122559.1455,0.00371426,9.19,-0.00024574,-0.61,0,0.0,0.0,sold out in window
0x13ba935cbcd89352b3008a9ffb8d735a912fc024,2026-08-31T17:23:31Z,58657.24,1,118582.147,0.00281065,6.96,1,118582.147,0.0028764,7.12,6.575e-05,0.16,0,0.0,0.0,sold out in window
0xe708231b205396dcfe4f185af6723ea3426bbe83,2026-08-31T17:21:20Z,55342.84,1,118321.2533,0.002646,6.55,1,118321.2533,0.00367894,9.1,0.00103294,2.56,0,0.0,0.0,sold out in window
0xdbf284dd057ba0cae6b23c1ac54804b9c97544ef,2026-08-31T17:21:20Z,55410.09,1,118177.6451,0.002646,6.55,1,118177.6451,0.00453456,11.22,0.00188856,4.67,0,0.0,0.0,sold out in window
0x6a1490481e8e3767593ccd6624276431fc67dbf1,2026-08-31T17:24:33Z,89628.5,1,115178.5829,0.00417142,10.32,1,115178.5829,0.00274986,6.81,-0.00142156,-3.52,0,0.0,0.0,sold out in window
0x4749e9147cc9508db9ed15ed68f087048f735f78,2026-08-31T17:24:28Z,78304.77,1,114448.6587,0.0036213,8.96,1,114448.6587,0.00345214,8.54,-0.00016916,-0.42,0,0.0,0.0,sold out in window
0x2cd9bfbfb65f288897a69124b0a5b01d76b42f92,2026-08-31T17:27:20Z,80947.32,1,113521.1295,0.00371317,9.19,1,113521.1295,0.00246387,6.1,-0.0012493,-3.09,0,0.0,0.0,sold out in window
0x65e930d318e55ea0aa83abc90de5daf2d8d9f044,2026-08-31T17:21:08Z,43783.24,1,113021.4092,0.00199956,4.95,1,113021.4092,0.00300523,7.44,0.00100567,2.49,0,0.0,0.0,sold out in window
0x9eb8a4301627fe8155f9339c6468b2d29baed33d,2026-08-31T17:27:25Z,80830.0,1,112348.7853,0.0036695,9.08,1,112348.7853,0.00261624,6.47,-0.00105325,-2.61,0.0,0.0,0.0,sold out in window
0xefd1744608e16eb2e60f2ec05097809d339455a3,2026-08-31T17:26:17Z,82316.77,1,111600.4152,0.0037121,9.19,1,111600.4152,0.00457826,11.33,0.00086616,2.14,0,0.0,0.0,sold out in window
0xd96405fa310d1fd392d5ed9b90b8e68813d4b236,2026-08-31T19:36:13Z,90302.46,1,110836.6272,0.00404435,10.01,1,110836.6272,0.00347694,8.6,-0.0005674,-1.4,0,0.0,0.0,sold out in window
0x5370ee4283a1ce02796196a760516d8721c68cf2,2026-08-31T18:14:50Z,64737.12,1,106253.0737,0.00277946,6.88,1,106253.0737,0.00313828,7.77,0.00035882,0.89,0,0.0,0.0,sold out in window
0xc236baf212ba943f33c32890403b7d9bf9a10c67,2026-08-31T17:21:08Z,43823.94,2,104193.9192,0.00208418,5.16,1,90432.187,0.00201785,4.99,0.00041645,1.03,13761.7322,13761.7322,1.47,still holds
0xff0b6e5ed9db1eb1ee86bf06db82a405a91e7d4c,2026-08-31T17:35:39Z,60513.34,1,103634.5415,0.00253409,6.27,1,91574.6244,0.00306849,7.59,0.0008293,2.05,12059.9171,12059.9171,1.29,still holds
0x7b8498ec542b66a0c6e93734452a0b9a08d033d8,2026-08-31T19:31:31Z,85493.46,1,99793.8689,0.00344748,8.53,1,99793.8689,0.00311524,7.71,-0.00033225,-0.82,0,0.0,0.0,sold out in window
0x4daa982f29fc88c57f26da51fca9918a05a4d6ff,2026-08-31T17:23:17Z,51144.11,2,96975.0512,0.00227614,5.63,2,96975.0512,0.0033576,8.31,0.00108147,2.68,0,0.0,0.0,sold out in window
