wallet,n_tokens,tokens,total_realized_usd,NTF_realized_usd,PONS_realized_usd,AI_realized_usd,QUANT_realized_usd,NTF_still_holding,PONS_still_holding,AI_still_holding,QUANT_still_holding,clusters
0xf6f82aa38f503caaa2f97e55244889e48b99e17e,2,AI+PONS,-3.52,,0.73,-4.24,,,False,False,,pons-s035 ai-s015
0xbb425b1a6e5a07487cd14a13064a4e226d951d49,2,AI+QUANT,-6.93,,,-6.93,0,,,False,False,ai-s027
0x8b4ae8bc3cfaacbc01060d5d0091ba7382178fb6,2,AI+PONS,-8.36,,-8.36,0,,,True,False,,
0xbf1c2724a07365cb7f2946acebe160eef8948db4,2,AI+PONS,-9.14,,-10.71,1.57,,,False,False,,pons-s001 ai-s014
0x3e1d3bf40c7f37b056bd82d5e4dc1225bc6c4df3,2,AI+PONS,-12.53,,-12.71,0.17,,,False,False,,
0x0620912f23c04595e19777067adcb5c6e9723073,2,AI+PONS,-13.46,,17.23,-30.69,,,False,False,,
0x3839e43d8af7b8520866f706b51c51d2afcd3e6e,2,AI+PONS,-18.13,,13.3,-31.42,,,False,False,,pons-s006 ai-s005
0x78eec63e46821810ab358c89427a660c0bc2e5eb,2,AI+PONS,-19.5,,-22.2,2.7,,,False,False,,
0x1a5861a1d957e24eafb5d28111e593bd118f06c5,2,AI+PONS,-25.99,,0,-25.99,,,True,False,,
0x302db72d3cec4d92ea674bc18860ddd5b20c7ff0,2,AI+PONS,-27.98,,-28.51,0.52,,,False,False,,
0x6c9a8ad104aee8f36fd23ac3a3a6fbe713e162b0,2,AI+PONS,-37.85,,-37.57,-0.28,,,False,False,,
0xb25dea276146dcbe81baf0ec3911720c0355ae20,2,AI+PONS,-38.62,,-38.79,0.17,,,False,False,,
0x81b98a0e207726584ce1ac687fcae6059b35ebcf,2,AI+PONS,-41.5,,0,-41.5,,,True,False,,
0x04bf1a0067e63e27f8ec6f7c4e4f6260107a328a,2,PONS+QUANT,-46.11,,-46.11,,0,,False,,False,pons-s016
0xe0eba8ffb914168d6f42e21ef02bbd988b074d3f,2,AI+PONS,-60.42,,17.09,-77.51,,,False,False,,
0xa667a51bdcb32dabc8a9396a4523b5fef314ebe7,3,AI+PONS+QUANT,-64.57,,-64.57,0,0,,True,False,False,
0x00f4870732a65a3294687072ad2f335b76f6742a,2,AI+PONS,-90.57,,97.24,-187.81,,,False,False,,
0x8a2886c265e512c5c24d81b06495b98d4338010c,2,AI+PONS,-95.45,,-30.45,-65.0,,,False,False,,
0x2351a49212fcdbc837403e9f8975faee513639a9,2,AI+PONS,-109.38,,27.96,-137.34,,,False,False,,
0xeb30137dfb72bb02f268adea9bbad26ad6e088bd,2,AI+QUANT,-120.82,,,-53.43,-67.39,,,False,False,
0x1bf9e891f0970101913248fbe21b75595933b145,2,NTF+QUANT,-121.08,0.46,,,-121.55,False,,,False,
0xa5e8bb8151fc04909c9c893ed9810ab5d9632125,2,AI+PONS,-165.5,,-41.08,-124.42,,,False,False,,pons-s005 pons-s012 pons-s013 pons-s023 pons-s024 pons-s032 pons-s033 ai-s001 ai-s010 ai-s018 ai-s023 ai-s027 ai-s029 ai-s030 ai-s031
0x6d3a4313d2b8c93fef5a6d4c6667a05cd754735d,2,AI+PONS,-166.33,,-132.73,-33.6,,,False,False,,
0xa6c629171126405c55211c383d9c7fa8aff4c857,2,NTF+QUANT,-171.67,-31.8,,,-139.87,False,,,False,
0xbc43efe19209bc393206e68612af757e2071b490,2,AI+QUANT,-173.94,,,3.35,-177.29,,,False,False,
0xf9c1b398cc1cc245509f0e36d513c9d984ba5527,3,AI+PONS+QUANT,-295.84,,-94.91,0,-200.93,,False,False,False,
0x22669afc9c5c2149768c236cd10a8ab47f2774f3,2,AI+PONS,-415.76,,196.27,-612.03,,,True,False,,
0x091adfb526415e4bbac8791109257077a562ee70,2,AI+PONS,-439.43,,-344.47,-94.96,,,False,False,,
0x6fd16e584158e55ee2a79606452f08248fa5a71a,2,AI+PONS,-447.23,,76.41,-523.63,,,False,False,,pons-s018 pons-s025 ai-s031
0x452cdd15dd672bb5fa38765b7bd1e8e8bb5e9588,2,AI+PONS,-489.38,,-488.1,-1.28,,,True,False,,
0x32822232817e8e5a95c49c2bc66b9e16a60b01a0,2,AI+PONS,-506.06,,-387.43,-118.63,,,False,False,,
0x229d68144de5d59d31e8034da4320012d6142986,2,AI+PONS,-522.38,,0,-522.38,,,False,False,,ai-s002
0x904a5d05d72a0575c6a60f7de7566abc2ac331e2,2,PONS+QUANT,-709.19,,-709.19,,0,,True,,False,
0x03e6fefbf49d31b5acece6182d48ffba542b9010,2,AI+PONS,-1185.99,,0,-1185.99,,,False,False,,ai-s003 ai-s021
0x212ebf0471b2ce850f5e65c2cca0f2a5485a2121,2,AI+PONS,-2058.9,,-2689.02,630.12,,,False,False,,
