wallet,first_buy_time,first_buy_time_utc,first_buy_mcap_usd,last_sell_time,last_sell_time_utc,n_buys,n_sells,sol_in,sol_out,tokens_bought,tokens_sold,tokens_still_held,realized_pnl_sol,realized_pnl_usd,hold_minutes,sold_out,n_trades_total,bought_before_crossing
9PDFBkM2JjnLuuEhQVi5oPv5jVJ4wV3LA2PAfLXNijLb,1787075301,2026-08-18T17:48:21Z,55444.19714705662,1787075363,2026-08-18T17:49:23Z,1,6,1.521136383,5.932621039,1491234.119931875,1491234.119931875,0.0,4.411484656,332.89063214175997,1.03,True,7,False
EXgjdaTYUSoS33cKZREWNfCGba6i4PGhsW1VpDqDqevz,1786830256,2026-08-15T21:44:16Z,32379.99815569776,1787087126,2026-08-18T21:05:26Z,3,4,9.782617081000001,14.120419517999999,6207713.105110499,6207226.516073714,486.5890367850661,4.345996365971815,327.9488857762331,4281.17,False,7,True
C7PNbARVAHeskaefdcu7fy21dCN3qNANKuT6Cka2av4L,1787075301,2026-08-18T17:48:21Z,56056.906310140796,1787500407,2026-08-23T15:53:27Z,27,39,12.681934395999999,16.664892069,1212421.602546974,1213771.4652644217,0.0,3.982957672999999,300.5539860045799,7085.1,True,66,False
2T7W5XtariS53AbHY42u8CZzAyrzvNzGpeWcHsARNGkx,1786828872,2026-08-15T21:21:12Z,39441.29330544895,1787519395,2026-08-23T21:09:55Z,7,10,17.476880199,21.268511391,6573038.084780392,6573038.084780393,0.0,3.7916311920000014,286.1164897483201,11508.72,True,17,True
CHvWpTWTZXUMvWfX7jmy8vhHbAqn6YvLc8wBxXYi4KiW,1786839224,2026-08-16T00:13:44Z,46594.449616348546,1787774452,2026-08-26T20:00:52Z,12,8,21.565886982000002,25.309428655,4564335.680263518,4564335.680263518,0.0,3.7435416729999993,282.48765464457995,15587.13,True,20,True
FDQKtMRyjWHPxyvtuWzqypyn3JXmCtv3CH9tKQpLbtPD,1786828872,2026-08-15T21:21:12Z,38956.26694062808,1787519395,2026-08-23T21:09:55Z,7,10,17.479921133999998,21.172391636,6822196.828233347,6822196.828233349,0.0,3.6924705020000017,278.6338240809201,11508.72,True,17,True
GHJFdDSYx1kGg7nLTDZ7B468SqHsqySZwHRSxs4DgEVk,1786839224,2026-08-16T00:13:44Z,45464.816780001296,1787774452,2026-08-26T20:00:52Z,12,8,19.742141544,23.421505646,4794235.438551573,4794235.438551573,0.0,3.6793641019999987,277.6448151369199,15587.13,True,20,True
3XQyz76yGTfdVezAEX32drhFBK6Zdqu5vP1C1ocPXVt2,1786828872,2026-08-15T21:21:12Z,39659.52216155679,1787519395,2026-08-23T21:09:55Z,7,10,17.873347401,21.479079034,6626722.007573715,6626722.007573716,0.0,3.6057316330000018,272.08850902618013,11508.72,True,17,True
FMrLCzfeRZLiawdoj7PRiAyo3kwbYWJ7XWQXgxmeHr8w,1786828872,2026-08-15T21:21:12Z,39207.069346040604,1787519395,2026-08-23T21:09:55Z,7,10,17.582701902,21.080500421,6612489.852200885,6612489.852200885,0.0,3.4977985190000007,263.94387624374,11508.72,True,17,True
G5ZJocbhs3Z86s1bSQpVhJNKGLzSHrEXuZg93WE4GEXa,1786839267,2026-08-16T00:14:27Z,44650.75149208886,1786840364,2026-08-16T00:32:44Z,1,1,10.103039279999999,13.046333428,12337039.234469095,12337039.234469095,0.0,2.9432941480000023,222.10097640808016,18.28,True,2,True
