wallet,trades,tokens_bought,tokens_sold,realized_pnl_eth,realized_pnl_usd,implied_balance,onchain_balance,balance_delta,remaining_tokens,unrealized_pnl_usd,still_holding,first_action_sell,first_buy_mcap_usd,price_block,price_usd,paths,balance_match,boundary_balance,boundary_delta,raw_net
0x8e1a4ff101fc5dc0677f1ee4a8b6100af7738c9b,8,12186110.442720138,12186110.442720138,0.7425346999235355,1314.078493105212,0.0,0.0,0.0,9.313225746154785e-10,0.0,False,False,7188.605366925553,51165960,0.2563271633796273,single,True,0.0,0.0,9.313225746154785e-10
0x2a9ff793ea789c0bcc46c5500fbf0d98e1efbc58,16,12176969.222549334,12176969.222549336,0.7268657198522301,1286.348786031971,-1.862645149230957e-09,0.0,1.862645149230957e-09,0,0.0,False,False,13716.56054919852,51165960,0.2563271633796273,single,True,0.0,1.862645149230957e-09,-2.7939677238464355e-09
0x6435f49636fa76e33a3adae4bbb7315e6ef39998,13,12469690.907625962,12469690.907625962,0.7264082391499358,1285.539173293391,0.0,0.0,0.0,4.656612873077393e-10,0.0,False,False,13168.095517724123,51165960,0.2563271633796273,single,True,0.0,0.0,9.313225746154785e-10
0x7e6f5e16ba156ce28861abbd7aabea2c7f1a70c5,8,11690217.662862381,11690217.662862381,0.7057567715542222,1248.9918585061077,0.0,0.0,0.0,0,0.0,False,False,7493.542161218934,51165960,0.2563271633796273,single,True,0.0,0.0,-4.656612873077393e-10
0x194db29f5bebacf3201abc9dbdda452116a3ff23,3,24465008.019373666,9474702.050946804,0.6962589310940254,1232.183340492102,14990305.968426863,0.0,-14990305.968426863,14990305.968426863,0.0,False,False,81501.65329557506,51165960,0.2563271633796273,single,False,14990305.968426863,0.0,14990305.968426863
0xa1ed363f641ccf0647e31af8e7746294a582301c,18,12227156.705418926,12227156.705418926,0.6831905620720952,1209.0559867489715,0.0,0.0,0.0,0,0.0,False,False,13423.972778774718,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
0x2709811df9b4bf39470c0b9021d231760ee46246,17,32622572.893924434,25363061.106034283,0.6494057307426531,1149.266295778598,7259511.787890151,0.0,-7259511.787890151,7259511.787890153,0.0,False,False,109367.86592858372,51165960,0.2563271633796273,single,False,7259511.787890154,2.7939677238464355e-09,7259511.787890153
0xeb042c68d42be3d9cb440eb07cb3d5eba0b6480c,14,19399116.423007518,10988043.672001645,0.6349756958243139,1123.7291746946953,8411072.751005873,0.0,-8411072.751005873,8411072.751005873,0.0,False,False,71025.4129420172,51165960,0.2563271633796273,single,False,8411072.751005875,1.862645149230957e-09,8411072.751005873
0x63623d092e67fd2529e11dd6e74503748b00865b,6,15850742.36598669,15850742.36598669,0.6066342614940861,1073.5727721441597,0.0,0.0,0.0,0,0.0,False,False,44489.61724557272,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
0xbe053615f67b836a4fded86076faf425b4c6a8f2,179,9533132.307426952,8285749.329973902,0.5994702731835182,1060.894518905969,1247382.9774530502,0.0,-1247382.9774530502,1247382.9774530586,0.0,False,False,21915.104081035763,51165960,0.2563271633796273,single,False,1247382.97745306,9.778887033462524e-09,1247382.9774530493
0x6bf3e77a294288e671dc20519dccf00714faafde,176,9488695.815610789,8247127.225463146,0.5981400835775075,1058.5404557851605,1241568.5901476424,0.0,-1241568.5901476424,1241568.5901476347,0.0,False,False,22514.441723355114,51165960,0.2563271633796273,single,False,1241568.5901476354,-6.984919309616089e-09,1241568.5901476434
0x6c119befbdb3997ebb34cdfb9068f3e45c48ddbd,174,9473248.015769811,8233700.725855859,0.5947278944204918,1052.5018364639316,1239547.2899139524,0.0,-1239547.2899139524,1239547.2899139547,0.0,False,False,23737.371517217176,51165960,0.2563271633796273,single,False,1239547.2899139533,9.313225746154785e-10,1239547.2899139514
0x6a181232f550132cfe851136f6a2a026d3b5bdbe,177,9501275.324056143,8258060.741364451,0.5936816969388965,1050.6503598794072,1243214.5826916918,0.0,-1243214.5826916918,1243214.5826916848,0.0,False,False,23121.864202082248,51165960,0.2563271633796273,single,False,1243214.582691685,-6.752088665962219e-09,1243214.5826916925
0x26569ffa1809ace639de970dfc8f6e6787b3e2a6,2,19552814.75770981,19552814.75770981,0.5866496637788726,1038.2056303073864,0.0,44.80066295175975,44.80066295175975,0,11.483626851951337,True,False,17920.926478566216,51165960,0.2563271633796273,single,False,0.0,0.0,0.0
0xdcc0da4936c2ee5b5d2e0eb6cf6349e85b9a3cde,3,6919222.191314909,6919222.191314909,0.5680110896452887,1005.2205732944119,0.0,0.0,0.0,0,0.0,False,False,14433.023773409908,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
0xbce65b54c2f5ced942dc4098e96c849ae1acc904,12,13612109.662539972,13612109.662539974,0.5046218045258779,893.0392890024996,-1.862645149230957e-09,0.0,1.862645149230957e-09,0,0.0,False,False,4504.870940034552,51165960,0.2563271633796273,single,True,0.0,1.862645149230957e-09,-2.3283064365386963e-10
0xc713da39bc5bade9ce47fac6341bebacedad78c5,2,13600694.261587817,7001274.29663463,0.4975725832427082,880.5641412655564,6599419.964953187,0.0,-6599419.964953187,6599419.964953187,0.0,False,False,16102.32853662032,51165960,0.2563271633796273,single,False,0.0,-6599419.964953187,9.313225746154785e-10
0x25c9a7160421b6d0f7113c9cea0d36576d86805b,6,14289702.317487363,14289702.317487363,0.4895428619761243,866.3537831191505,0.0,0.0,0.0,0,0.0,False,False,46003.71292284481,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
0x18b94ef5e862f10b8af7d173356cf7a3ab1e31f5,12,6577267.981642294,6577267.981642294,0.48198601781677225,852.9802850367379,0.0,0.0,0.0,0,0.0,False,False,5860.260101457711,51165960,0.2563271633796273,single,True,0.0,0.0,-9.313225746154785e-10
0x6d9b561eb7fec2961b07a50bc864841404bdaac9,3,11876543.652499568,8819349.42090353,0.47180133051647605,834.9562404477116,3057194.2315960377,0.0,-3057194.2315960377,3057194.2315960373,0.0,False,False,18439.947996159797,51165960,0.2563271633796273,single,False,0.0,-3057194.2315960377,0.0
0x8dd84e0b7b4c1f84fd5d628a029503ef7368147f,12,6316210.631257887,6316210.631257886,0.4708813476677497,833.3281284205411,9.313225746154785e-10,0.0,-9.313225746154785e-10,4.656612873077393e-10,0.0,False,False,6102.4724125986595,51165960,0.2563271633796273,single,True,0.0,-9.313225746154785e-10,4.656612873077393e-10
0x182d0928ea38b897f33ecfd7f67735fc351b7658,12,6070392.8591965,6070392.8591965,0.4605857844182689,815.1078644491196,0.0,0.0,0.0,4.656612873077393e-10,0.0,False,False,6349.589231448113,51165960,0.2563271633796273,single,True,0.0,0.0,4.656612873077393e-10
